time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y	integral_x	integral_y
553388374	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553401018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553413007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553425012	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553437015	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553449000	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553461005	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553473008	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553485011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553497015	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553509018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553521003	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553533007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553545011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553557014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553569017	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553581002	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553593007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553605010	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553617013	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553629017	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553641001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553653006	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553665009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553677013	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553689016	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553701001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553713005	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553725009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553737012	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553749015	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553761000	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553773005	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553785008	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553797011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553809015	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553821018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553833003	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553845007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553857011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553869014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553881017	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553893002	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553905007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553917010	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553929013	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553941017	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553953001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553965006	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553977009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
553989013	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554001016	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554013001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554025005	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554037009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554049012	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554061015	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554073000	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554085005	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554097008	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554109011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554121015	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554133018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554145003	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554157007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554169011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554181014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554193017	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554205002	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554217007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554229010	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554241013	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554253017	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554265001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554277006	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554289009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554301013	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554313016	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554325001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554337005	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554349009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554361012	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554373015	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554385000	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554397005	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554409008	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554421011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554433015	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554445002	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554458011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554471001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554483007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554495000	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554508009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554521018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554534008	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554546014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554558007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554571016	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554583010	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554596001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554609011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554622001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554634006	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554646000	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554659009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554671003	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554684012	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554696006	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554709015	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554722005	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554734011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554746004	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554759013	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554772003	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554784009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554796002	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554809011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554822001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554834007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554846000	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554859009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554872018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554885008	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554897014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554909007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554922016	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554934010	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554947001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554960011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554973001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554985006	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
554997000	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555010009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555022003	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555035012	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555047006	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555060016	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555072010	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555085000	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555097006	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555109018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555121011	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555134001	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555146007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555158000	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555171009	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555184018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555197008	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555209014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555221007	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555234016	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555247006	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555259012	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555271005	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555284014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555297004	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555309010	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555321003	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555334012	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555346006	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555359015	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
555372005	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	617	-373	0.0000	0.0000
