time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y	integral_x	integral_y
760789698	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760802016	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760815018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760828018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760841018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760854018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760867018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760880018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760893018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760906018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760919018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760932018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760945018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760958018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760971018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760984018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
760997018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761010018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761023018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761036018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761049018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761062018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761075018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761088018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761101018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761114018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761127018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761140018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761153018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761166018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761179018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761192018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
761205018	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	1164	-1046	0.0000	0.0000
