time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y	integral_x	integral_y
1067129868	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067143012	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067156014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067169014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067182014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067195014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067208014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067221014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067234014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067247014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067260014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067273014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067286014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067299014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067312014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067325014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067338014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067351014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067364014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067377014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067390014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067403014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067416014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067429014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067442014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067455014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067468014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067481014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067494014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067507014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067520014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067533014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067546014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067559014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067572014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067585014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067598014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
1067611014	-1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	310	-1459	0.0000	0.0000
