time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y	integral_x	integral_y
45851153	319.9400	630.8490	-518.4990	268.6834	0.0000	0.0000	1879	-333	-38.4090	24.9193
45864010	320.0590	631.3620	-518.5238	269.3889	-164.5568	164.5568	1877	-331	-38.7833	25.1631
45878014	320.0590	631.3620	-518.5238	269.3889	-343.8208	269.3889	1870	-327	-38.7833	25.1631
45892002	320.0590	631.3620	-518.5238	269.3889	-518.5238	269.3889	1859	-323	-38.7833	25.1631
45906007	320.0590	631.3620	-518.5238	269.3889	-518.5238	269.3889	1852	-319	-38.7833	25.1631
45920017	320.2980	631.6230	-524.1074	273.3829	-524.1074	273.3829	1845	-315	-44.5544	28.9223
45934018	320.2980	631.6230	-524.1074	273.3829	-524.1074	273.3829	1837	-311	-44.5544	28.9223
45948004	320.2980	631.6230	-524.1074	273.3829	-524.1074	273.3829	1830	-308	-44.5544	28.9223
45962011	320.2980	631.6230	-524.1074	273.3829	-524.1074	273.3829	1823	-304	-44.5544	28.9223
45976017	320.2980	631.6230	-524.1074	273.3829	-524.1074	273.3829	1815	-300	-44.5544	28.9223
45990003	320.2980	631.6230	-524.1074	273.3829	-524.1074	273.3829	1808	-296	-44.5544	28.9223
46004010	320.2980	631.6230	-524.1074	273.3829	-524.1074	273.3829	1801	-292	-44.5544	28.9223
46018000	320.0300	632.2790	-533.9006	280.1001	-533.9006	280.1001	1793	-288	-53.9456	35.0490
46032003	320.0300	632.2790	-533.9006	280.1001	-533.9006	280.1001	1786	-284	-53.9456	35.0490
46046009	320.0300	632.2790	-533.9006	280.1001	-533.9006	280.1001	1778	-281	-53.9456	35.0490
46060014	320.0300	632.2790	-533.9006	280.1001	-533.9006	280.1001	1771	-277	-53.9456	35.0490
46074001	320.0300	632.2790	-533.9006	280.1001	-533.9006	280.1001	1763	-273	-53.9456	35.0490
46088007	320.0300	632.2790	-533.9006	280.1001	-533.9006	280.1001	1756	-269	-53.9456	35.0490
46102099	320.3970	632.1900	-541.7649	285.5143	-533.9006	280.1001	1749	-265	-62.3604	40.5433
46116011	320.3970	632.1900	-541.7649	285.5143	-541.7649	285.5143	1741	-261	-62.3604	40.5433
46130015	320.3970	632.1900	-541.7649	285.5143	-541.7649	285.5143	1733	-257	-62.3604	40.5433
46144001	320.3970	632.1900	-541.7649	285.5143	-541.7649	285.5143	1726	-253	-62.3604	40.5433
46158008	320.3970	632.1900	-541.7649	285.5143	-541.7649	285.5143	1718	-249	-62.3604	40.5433
46172013	320.3970	632.1900	-541.7649	285.5143	-541.7649	285.5143	1710	-245	-62.3604	40.5433
46186000	320.3970	632.1900	-541.7649	285.5143	-541.7649	285.5143	1703	-241	-62.3604	40.5433
46200018	320.1910	632.6170	-551.1199	291.8105	-551.1199	291.8105	1695	-237	-71.4064	46.4552
46214001	320.1910	632.6170	-551.1199	291.8105	-551.1199	291.8105	1688	-233	-71.4064	46.4552
46228009	320.1910	632.6170	-551.1199	291.8105	-551.1199	291.8105	1680	-229	-71.4064	46.4552
46242014	320.1910	632.6170	-551.1199	291.8105	-551.1199	291.8105	1672	-225	-71.4064	46.4552
46256000	320.1910	632.6170	-551.1199	291.8105	-551.1199	291.8105	1664	-221	-71.4064	46.4552
46270007	320.1910	632.6170	-551.1199	291.8105	-551.1199	291.8105	1657	-216	-71.4064	46.4552
46284017	320.9360	632.2940	-558.0863	296.8090	-558.0863	296.8090	1649	-212	-79.4903	51.7444
46298018	320.9360	632.2940	-558.0863	296.8090	-558.0863	296.8090	1641	-208	-79.4903	51.7444
46312005	320.9360	632.2940	-558.0863	296.8090	-558.0863	296.8090	1633	-204	-79.4903	51.7444
46326011	320.9360	632.2940	-558.0863	296.8090	-558.0863	296.8090	1626	-200	-79.4903	51.7444
46340017	320.9360	632.2940	-558.0863	296.8090	-558.0863	296.8090	1618	-196	-79.4903	51.7444
46354003	320.9360	632.2940	-558.0863	296.8090	-558.0863	296.8090	1610	-192	-79.4903	51.7444
46368010	320.9360	632.2940	-558.0863	296.8090	-558.0863	296.8090	1602	-187	-79.4903	51.7444
46382004	320.4860	632.5440	-567.6612	302.8542	-567.6612	302.8542	1594	-183	-88.3902	57.5646
46396012	320.4860	632.5440	-567.6612	302.8542	-567.6612	302.8542	1586	-179	-88.3902	57.5646
46410017	320.4860	632.5440	-567.6612	302.8542	-567.6612	302.8542	1578	-175	-88.3902	57.5646
46424005	320.4860	632.5440	-567.6612	302.8542	-567.6612	302.8542	1570	-170	-88.3902	57.5646
46438010	320.4860	632.5440	-567.6612	302.8542	-567.6612	302.8542	1562	-166	-88.3902	57.5646
46452016	320.4860	632.5440	-567.6612	302.8542	-567.6612	302.8542	1554	-162	-88.3902	57.5646
