time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y
456491037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-2018	-16935
456502006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-2018	-16935
456513003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-2018	-16935
456524001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-2018	-16935
456535007	690.8750	256.3370	118.2375	-43.8989	115.7888	-43.8989	-2017	-16935
456548012	690.8750	256.3370	118.2375	-43.8989	118.2375	-43.8989	-2016	-16936
456560017	690.8750	256.3370	118.2375	-43.8989	118.2375	-43.8989	-2014	-16936
456572002	690.8750	256.3370	118.2375	-43.8989	118.2375	-43.8989	-2013	-16937
456584007	691.2790	256.6990	118.4395	-43.7903	118.4395	-43.7903	-2011	-16937
456596010	691.2790	256.6990	118.4395	-43.7903	118.4395	-43.7903	-2010	-16938
456608013	691.2790	256.6990	118.4395	-43.7903	118.4395	-43.7903	-2009	-16938
456620016	691.2790	256.6990	118.4395	-43.7903	118.4395	-43.7903	-2007	-16939
456632018	689.7580	256.4800	117.6790	-43.8560	117.6790	-43.8560	-2006	-16939
456644004	689.7580	256.4800	117.6790	-43.8560	117.6790	-43.8560	-2004	-16940
456656009	689.7580	256.4800	117.6790	-43.8560	117.6790	-43.8560	-2003	-16940
456668012	689.7580	256.4800	117.6790	-43.8560	117.6790	-43.8560	-2002	-16941
456680017	691.0870	258.1470	118.3435	-43.3559	117.9094	-43.6128	-2000	-16941
456692000	691.0870	258.1470	118.3435	-43.3559	118.3435	-43.3559	-1999	-16942
456704005	691.0870	258.1470	118.3435	-43.3559	118.3435	-43.3559	-1997	-16943
456716008	691.0870	258.1470	118.3435	-43.3559	118.3435	-43.3559	-1996	-16943
456728012	691.0870	258.1470	118.3435	-43.3559	118.3435	-43.3559	-1994	-16944
456740013	688.8260	255.8230	117.2130	-44.0531	117.2130	-44.0531	-1993	-16944
456752018	688.8260	255.8230	117.2130	-44.0531	117.2130	-44.0531	-1992	-16945
456764003	688.8260	255.8230	117.2130	-44.0531	117.2130	-44.0531	-1990	-16945
456776008	688.8260	255.8230	117.2130	-44.0531	117.2130	-44.0531	-1989	-16946
456788016	689.6710	257.2880	117.6355	-43.6136	117.6355	-43.6136	-1987	-16946
456800004	689.6710	257.2880	117.6355	-43.6136	117.6355	-43.6136	-1986	-16947
456812009	689.6710	257.2880	117.6355	-43.6136	117.6355	-43.6136	-1985	-16947
456824012	689.6710	257.2880	117.6355	-43.6136	117.6355	-43.6136	-1983	-16948
456836014	690.2020	257.0060	117.9010	-43.6982	117.9010	-43.6982	-1982	-16948
456848000	690.2020	257.0060	117.9010	-43.6982	117.9010	-43.6982	-1980	-16949
456860005	690.2020	257.0060	117.9010	-43.6982	117.9010	-43.6982	-1979	-16949
456872008	690.2020	257.0060	117.9010	-43.6982	117.9010	-43.6982	-1977	-16950
456884012	690.2020	257.0060	117.9010	-43.6982	117.9010	-43.6982	-1976	-16950
456896004	688.9800	257.2030	117.2900	-43.6391	117.2900	-43.6391	-1975	-16951
456908010	688.9800	257.2030	117.2900	-43.6391	117.2900	-43.6391	-1973	-16951
456920013	688.9800	257.2030	117.2900	-43.6391	117.2900	-43.6391	-1972	-16952
456932016	688.9800	257.2030	117.2900	-43.6391	117.2900	-43.6391	-1970	-16952
456944015	689.5380	256.7670	117.5690	-43.7699	117.5690	-43.7699	-1969	-16953
456956004	689.5380	256.7670	117.5690	-43.7699	117.5690	-43.7699	-1968	-16954
456968009	689.5380	256.7670	117.5690	-43.7699	117.5690	-43.7699	-1966	-16954
456980012	689.5380	256.7670	117.5690	-43.7699	117.5690	-43.7699	-1965	-16955
456992012	689.7740	259.6250	117.6870	-42.9125	117.6870	-42.9125	-1963	-16955
457004000	689.7740	259.6250	117.6870	-42.9125	117.6870	-42.9125	-1962	-16956
457016005	689.7740	259.6250	117.6870	-42.9125	117.6870	-42.9125	-1961	-16956
457028008	689.7740	259.6250	117.6870	-42.9125	117.6870	-42.9125	-1959	-16957
457040016	688.1610	259.9280	116.8805	-42.8216	116.8805	-42.8216	-1958	-16957
457052005	688.1610	259.9280	116.8805	-42.8216	116.8805	-42.8216	-1956	-16958
457064010	688.1610	259.9280	116.8805	-42.8216	116.8805	-42.8216	-1955	-16958
457076013	688.1610	259.9280	116.8805	-42.8216	116.8805	-42.8216	-1954	-16959
457088751	687.9810	261.8810	116.7905	-42.2357	116.8805	-42.8216	-1952	-16959
457101018	687.9810	261.8810	116.7905	-42.2357	116.7905	-42.2357	-1951	-16960
457113001	687.9810	261.8810	116.7905	-42.2357	116.7905	-42.2357	-1949	-16960
457125005	687.9810	261.8810	116.7905	-42.2357	116.7905	-42.2357	-1948	-16961
457137009	687.9810	261.8810	116.7905	-42.2357	116.7905	-42.2357	-1946	-16961
457149005	687.3410	262.8230	116.4705	-41.9531	116.4705	-41.9531	-1945	-16962
457161007	687.3410	262.8230	116.4705	-41.9531	116.4705	-41.9531	-1944	-16962
457173010	687.3410	262.8230	116.4705	-41.9531	116.4705	-41.9531	-1942	-16963
457185013	687.3410	262.8230	116.4705	-41.9531	116.4705	-41.9531	-1941	-16963
457197003	686.3390	264.4100	115.9695	-41.4770	115.9695	-41.4770	-1939	-16964
457210006	686.3390	264.4100	115.9695	-41.4770	115.9695	-41.4770	-1938	-16964
457222011	686.3390	264.4100	115.9695	-41.4770	115.9695	-41.4770	-1937	-16965
457234015	686.3390	264.4100	115.9695	-41.4770	115.9695	-41.4770	-1935	-16965
457246013	685.5050	266.0990	115.5525	-40.9703	115.5525	-40.9703	-1934	-16966
457258003	685.5050	266.0990	115.5525	-40.9703	115.5525	-40.9703	-1932	-16966
457270008	685.5050	266.0990	115.5525	-40.9703	115.5525	-40.9703	-1931	-16967
457282011	685.5050	266.0990	115.5525	-40.9703	115.5525	-40.9703	-1930	-16967
457294014	685.5050	266.0990	115.5525	-40.9703	115.5525	-40.9703	-1928	-16968
457306010	681.1360	265.9570	113.3680	-41.0129	113.3680	-41.0129	-1927	-16968
457318012	681.1360	265.9570	113.3680	-41.0129	113.3680	-41.0129	-1925	-16969
457330016	681.1360	265.9570	113.3680	-41.0129	113.3680	-41.0129	-1924	-16969
457342000	681.1360	265.9570	113.3680	-41.0129	113.3680	-41.0129	-1923	-16970
457354009	681.2080	266.4780	113.4040	-40.8566	113.4040	-40.8566	-1921	-16970
457366017	681.2080	266.4780	113.4040	-40.8566	113.4040	-40.8566	-1920	-16971
457378001	681.2080	266.4780	113.4040	-40.8566	113.4040	-40.8566	-1919	-16971
457390006	681.2080	266.4780	113.4040	-40.8566	113.4040	-40.8566	-1917	-16972
457402010	681.2080	266.4780	113.4040	-40.8566	113.4040	-40.8566	-1916	-16972
457414002	681.2360	267.3660	113.4180	-40.5902	113.4180	-40.5902	-1915	-16973
