time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y
130796015	593.3880	477.8530	298.0820	212.3109	298.0820	212.3109	223	162
130808009	593.3880	477.8530	298.0820	212.3109	298.0820	212.3109	227	164
130820004	593.3880	477.8530	298.0820	212.3109	298.0820	212.3109	230	167
130832017	593.3880	477.8530	298.0820	212.3109	298.0820	212.3109	234	169
130844012	591.7540	472.2490	295.6310	211.8748	295.6310	211.8748	237	172
130856005	591.7540	472.2490	295.6310	211.8748	295.6310	211.8748	241	175
130868000	591.7540	472.2490	295.6310	211.8748	295.6310	211.8748	244	177
130880014	591.7540	472.2490	295.6310	211.8748	295.6310	211.8748	248	180
130892001	591.5390	464.8310	295.3085	208.3305	295.3085	208.3305	251	182
130904000	591.5390	464.8310	295.3085	208.3305	295.3085	208.3305	255	185
130916015	591.5390	464.8310	295.3085	208.3305	295.3085	208.3305	259	187
130928008	591.5390	464.8310	295.3085	208.3305	295.3085	208.3305	262	190
130940003	591.5390	464.8310	295.3085	208.3305	295.3085	208.3305	266	192
130952002	589.7800	460.3670	292.6700	208.0101	293.8749	208.0101	269	195
130964018	589.7800	460.3670	292.6700	208.0101	292.6700	208.0101	273	197
130976013	589.7800	460.3670	292.6700	208.0101	292.6700	208.0101	276	200
130988007	589.7800	460.3670	292.6700	208.0101	292.6700	208.0101	280	202
131000002	589.7800	460.3670	292.6700	208.0101	292.6700	208.0101	283	205
131012014	587.0030	453.6170	288.5045	205.2895	288.5045	205.2895	287	207
131024009	587.0030	453.6170	288.5045	205.2895	288.5045	205.2895	290	210
131036003	587.0030	453.6170	288.5045	205.2895	288.5045	205.2895	294	212
131048017	587.0030	453.6170	288.5045	205.2895	288.5045	205.2895	297	215
131060010	587.0030	453.6170	288.5045	205.2895	288.5045	205.2895	301	217
131072016	583.5200	449.0260	283.2800	204.2040	283.2800	204.2040	304	219
131084008	583.5200	449.0260	283.2800	204.2040	283.2800	204.2040	307	222
131096003	583.5200	449.0260	283.2800	204.2040	283.2800	204.2040	311	224
131108016	583.5200	449.0260	283.2800	204.2040	283.2800	204.2040	314	227
