time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y
136477002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6620	1907
136488285	875.3220	475.5510	197.6610	34.6653	-121.6000	121.5872	6620	1908
136501001	875.3220	475.5510	197.6610	34.6653	41.1520	34.6653	6620	1909
136513013	875.3220	475.5510	197.6610	34.6653	194.8928	34.6653	6624	1909
136525011	875.3220	475.5510	197.6610	34.6653	197.6610	34.6653	6627	1909
136537005	875.3220	475.5510	197.6610	34.6653	197.6610	34.6653	6629	1910
136549000	875.3220	475.5510	197.6610	34.6653	197.6610	34.6653	6631	1910
136561014	875.3220	475.5510	197.6610	34.6653	197.6610	34.6653	6634	1911
136573009	876.4060	475.4080	198.2030	34.6224	198.2030	34.6224	6636	1911
136585002	876.4060	475.4080	198.2030	34.6224	198.2030	34.6224	6639	1912
136597015	876.4060	475.4080	198.2030	34.6224	198.2030	34.6224	6641	1912
136609008	876.4060	475.4080	198.2030	34.6224	198.2030	34.6224	6643	1912
136621003	876.4060	475.4080	198.2030	34.6224	198.2030	34.6224	6646	1913
136633016	876.4060	475.4080	198.2030	34.6224	198.2030	34.6224	6648	1913
136645009	876.4060	475.4080	198.2030	34.6224	198.2030	34.6224	6650	1914
136657004	876.4060	475.4080	198.2030	34.6224	198.2030	34.6224	6653	1914
136669006	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6655	1914
136681002	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6658	1915
136693015	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6660	1915
136705008	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6662	1916
136717003	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6665	1916
136729017	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6667	1917
136741010	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6669	1917
136753004	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6672	1917
136765018	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6674	1918
136777011	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6677	1918
136789006	877.5560	477.1890	198.7780	35.1567	198.7780	35.1567	6679	1919
136802246	877.9530	477.2820	198.9765	35.1846	198.7780	35.1567	6681	1919
